HFEMS.MRPAP.01.SH01.PL004.01.VAL,2022-01-01 00:56:00 000:000:000,33372
HFEMS.MRPAP.01.SH01.PL004.01.VAL,2022-01-01 00:57:00 000:000:000,34139
HFEMS.MRPAP.01.SH01.PL004.01.VAL,2022-01-01 00:58:00 000:000:000,34718
HFEMS.MRPAP.01.SH01.PL004.01.VAL,2022-01-01 00:59:00 000:000:000,34176
HFEMS.MRPAP.01.SH01.PL004.01.VAL,2022-01-01 01:00:00 000:000:000,34105
HFEMS.MRPAP.01.SH01.PL004.01.VAL,2022-01-01 01:01:00 000:000:000,33861
HFEMS.MRPAP.01.SH01.PL004.01.VAL,2022-01-01 01:02:00 000:000:000,34647
HFEMS.MRPAP.01.SH01.PL004.01.VAL,2022-01-01 01:03:00 000:000:000,34810
HFEMS.MRPAP.01.SH01.PL004.01.VAL,2022-01-01 01:04:00 000:000:000,35044
HFEMS.MRPAP.01.SH01.PL004.01.VAL,2022-01-01 01:05:00 000:000:000,34654
HFEMS.MRPAP.01.SH01.PL004.01.VAL,2022-01-01 01:06:00 000:000:000,33941
HFEMS.MRPAP.01.SH01.PL004.01.VAL,2022-01-01 01:07:00 000:000:000,34154
HFEMS.MRPAP.01.SH01.PL004.01.VAL,2022-01-01 01:08:00 000:000:000,34804
HFEMS.MRPAP.01.SH01.PL004.01.VAL,2022-01-01 01:09:00 000:000:000,34581
HFEMS.MRPAP.01.SH01.PL004.01.VAL,2022-01-01 01:10:00 000:000:000,33793
HFEMS.MRPAP.01.SH01.PL004.01.VAL,2022-01-01 01:11:00 000:000:000,34579
HFEMS.MRPAP.01.SH01.PL004.01.VAL,2022-01-01 01:12:00 000:000:000,34078
HFEMS.MRPAP.01.SH01.PL004.01.VAL,2022-01-01 01:13:00 000:000:000,33941
HFEMS.MRPAP.01.SH01.PL004.01.VAL,2022-01-01 01:14:00 000:000:000,34626
HFEMS.MRPAP.01.SH01.PL004.01.VAL,2022-01-01 01:15:00 000:000:000,34639
HFEMS.MRPAP.01.SH01.PL004.01.VAL,2022-01-01 01:16:00 000:000:000,33873
HFEMS.MRPAP.01.SH01.PL004.01.VAL,2022-01-01 01:17:00 000:000:000,34204
